epoch,step,train_loss,val_loss
0,49,0.17102985084056854,
0,99,0.15250247716903687,
0,123,,0.12642815709114075
1,149,0.08669596910476685,
1,199,0.028842609375715256,
1,247,,0.012863528914749622
2,249,0.012679294683039188,
2,299,0.00938563235104084,
2,349,0.0076589928939938545,
2,371,,0.007756249979138374
3,399,0.00701289065182209,
3,449,0.006350984331220388,
3,495,,0.006245580036193132
4,499,0.005887047853320837,
4,549,0.005364207085222006,
4,599,0.005180309060961008,
4,619,,0.005357438698410988
5,649,0.0050463005900382996,
5,699,0.005023285746574402,
5,743,,0.0048066675662994385
6,749,0.004318831022828817,
6,799,0.0043261852115392685,
6,849,0.004259363282471895,
6,867,,0.004490082152187824
7,899,0.004298838786780834,
7,949,0.004441879689693451,
7,991,,0.004138492513448
8,999,0.004030887503176928,
8,1049,0.0037321788258850574,
8,1099,0.0041212355718016624,
8,1115,,0.003971660044044256
9,1149,0.0033648309763520956,
9,1199,0.003727228380739689,
9,1239,,0.004016069695353508
10,1249,0.0031372937373816967,
10,1299,0.00338332774117589,
10,1349,0.003325499827042222,
10,1363,,0.00378444604575634
11,1399,0.0029881612863391638,
11,1449,0.0033537051640450954,
11,1487,,0.0035680686123669147
12,1499,0.0028829174116253853,
12,1549,0.002991046756505966,
12,1599,0.0028107177931815386,
12,1611,,0.0034933367278426886
13,1649,0.0032392810098826885,
13,1699,0.0027230128180235624,
13,1735,,0.0034880065359175205
14,1749,0.0031384588219225407,
14,1799,0.002277849707752466,
14,1849,0.003060505725443363,
14,1859,,0.0032358868047595024
15,1899,0.002679524477571249,
15,1949,0.002559302607551217,
15,1983,,0.003210941329598427
16,1999,0.002580721164122224,
16,2049,0.002464949619024992,
16,2099,0.002622264437377453,
16,2107,,0.003228059271350503
17,2149,0.0025296451058238745,
17,2199,0.0024562273174524307,
17,2231,,0.003140117274597287
18,2249,0.002589928451925516,
18,2299,0.002385844709351659,
18,2349,0.0023553993087261915,
18,2355,,0.00311124324798584
19,2399,0.0021430752240121365,
19,2449,0.002279890701174736,
19,2479,,0.0031224654521793127
20,2499,0.002382134087383747,
20,2549,0.0023681544698774815,
20,2599,0.0021783174015581608,
20,2603,,0.0031422588508576155
21,2649,0.0020166116300970316,
21,2699,0.0021119406446814537,
21,2727,,0.003160706488415599
22,2749,0.0019514171872287989,
22,2799,0.0021013407967984676,
22,2849,0.0021033126395195723,
22,2851,,0.00304792751558125
