epoch,step,train_loss,val_loss
0,49,0.08405502885580063,
0,99,0.045852914452552795,
0,123,,0.036692406982183456
1,149,0.02866026945412159,
1,199,0.020335957407951355,
1,247,,0.015251425094902515
2,249,0.01526598446071148,
2,299,0.01196311041712761,
2,349,0.009640938602387905,
2,371,,0.009343121200799942
3,399,0.008734612725675106,
3,449,0.0074469223618507385,
3,495,,0.006760726682841778
4,499,0.006680973339825869,
4,549,0.005879155360162258,
4,599,0.005587941035628319,
4,619,,0.005507414694875479
5,649,0.005137908272445202,
5,699,0.004994707647711039,
5,743,,0.004646298009902239
6,749,0.004426231142133474,
6,799,0.004297290928661823,
6,849,0.004060603678226471,
6,867,,0.004173086490482092
7,899,0.00392949441447854,
7,949,0.004172747489064932,
7,991,,0.0038752297405153513
8,999,0.0037871520034968853,
8,1049,0.003559407312422991,
8,1099,0.003595201764255762,
8,1115,,0.0035673435777425766
9,1149,0.0031150896102190018,
9,1199,0.00334146642126143,
9,1239,,0.003369322046637535
10,1249,0.0028735059313476086,
10,1299,0.00309880543500185,
10,1349,0.0028720430564135313,
10,1363,,0.0032074458431452513
11,1399,0.002619424369186163,
11,1449,0.0029090738389641047,
11,1487,,0.003112856997177005
12,1499,0.002541792346164584,
12,1549,0.0026143663562834263,
12,1599,0.0024866496678441763,
12,1611,,0.0029716878198087215
13,1649,0.002818139735609293,
13,1699,0.002387307584285736,
13,1735,,0.0029112694319337606
14,1749,0.0026898900978267193,
14,1799,0.002116299234330654,
14,1849,0.002560220193117857,
14,1859,,0.002829094184562564
15,1899,0.0022837561555206776,
15,1949,0.0022083816584199667,
15,1983,,0.0028053387068212032
16,1999,0.0022554618772119284,
16,2049,0.0022197612561285496,
16,2099,0.002203761599957943,
16,2107,,0.0027636222075670958
17,2149,0.002180640120059252,
17,2199,0.0020602159202098846,
17,2231,,0.0026439663488417864
18,2249,0.0023293092381209135,
18,2299,0.0021208622492849827,
18,2349,0.002015853300690651,
18,2355,,0.0026781524065881968
19,2399,0.0018188025569543242,
19,2449,0.002051206072792411,
19,2479,,0.002598350867629051
20,2499,0.00196853163652122,
20,2549,0.0019861466716974974,
20,2599,0.00185452273581177,
20,2603,,0.002581799402832985
21,2649,0.001783184357918799,
21,2699,0.0018103960901498795,
21,2727,,0.002590023912489414
22,2749,0.001730963820591569,
22,2799,0.0017496662912890315,
22,2849,0.0018209130503237247,
22,2851,,0.002573211444541812
23,2899,0.0018287706188857555,
23,2949,0.0018169994000345469,
23,2975,,0.00262808776460588
24,2999,0.0016282914439216256,
24,3049,0.0015679612988606095,
24,3099,0.0018314514309167862,
24,3099,,0.0025742717552930117
25,3149,0.001483921892940998,
25,3199,0.0015501725720241666,
25,3223,,0.00255952263250947
26,3249,0.0014777930919080973,
26,3299,0.001713256468065083,
26,3347,,0.002613571472465992
27,3349,0.001591385342180729,
27,3399,0.0014550162013620138,
27,3449,0.0013848162489011884,
27,3471,,0.0025680437684059143
28,3499,0.0014274845598265529,
28,3549,0.001341333263553679,
28,3595,,0.002589648822322488
29,3599,0.0014082998968660831,
29,3649,0.0013351053930819035,
29,3699,0.0014413902536034584,
29,3719,,0.002789189340546727
30,3749,0.0011712330160662532,
30,3799,0.0014226287603378296,
30,3843,,0.002814353909343481
31,3849,0.001270509441383183,
31,3899,0.0014168006600812078,
31,3949,0.0013050304260104895,
31,3967,,0.002699414035305381
32,3999,0.0013012199196964502,
32,4049,0.0012259638169780374,
32,4091,,0.002688632346689701
33,4099,0.0010821782052516937,
33,4149,0.001157358754426241,
33,4199,0.0012523820623755455,
33,4215,,0.002821775618940592
34,4249,0.001213769312016666,
34,4299,0.001270236331038177,
34,4339,,0.0028317624237388372
35,4349,0.0010405731154605746,
35,4399,0.0010663203429430723,
35,4449,0.0011786939576268196,
35,4463,,0.0028510538395494223
36,4499,0.0010941700311377645,
36,4549,0.0009892357047647238,
36,4587,,0.002820247784256935
37,4599,0.0009765176801010966,
37,4649,0.0008439064840786159,
37,4699,0.0009712373139336705,
37,4711,,0.002896303776651621
38,4749,0.0010373133700340986,
38,4799,0.000982950092293322,
38,4835,,0.003035202855244279
39,4849,0.0009715378982946277,
